index	premise	hypothesis	gold_label	number of correct responses (out of 100)
5353	This points to a final press-friendly quality of McCain' brilliant flattery.	This leads to a final press-friendly quality of McCain' brilliant flattery, said the journalist.	neutral	100
5354	what do you think about uh about our new governor since she happens to be a female	What do you think of our new female governor?	entailment	100
5355	They encourage us to indulge ourselves, and they exhort us to worry about our competence at work.	They want us to to indulge ourselves with booze. 	neutral	94
5356	Criminal discovered in last chapter. 	Criminal discovered in the last part.	entailment	100
5357	Shoot only the ones that face us, Jon had told Adrin.	Jon told Adrin and the others to only shoot the ones that face us.	entailment	0
5358	NIPA had already recognized mineral exploration as investment, and in 1996, NIPA reclassified government purchases of plant and equipment as investment.	NIPA said mineral exploration is not an investment.	contradiction	100
5359	Be forewarned that the download takes quite a while via modem.	Downloading this over a modem will take approximately three days.	neutral	100
5360	it's neat when you think about how she wrote it and stuff otherwise the lyrics are kind of	How she wrote it was pretty cool. 	entailment	100
5361	Don Saunders attended from the NLADA.	The NLADA sent Saunders to the conference in NYC.	neutral	100
5362	The flame or whatever it was had enough heat, but it was hard to control.	The hot flame was hard to control because it was big. 	neutral	100
5363	they don't call them immigrants anymore that was back during my granddaddy's day	They never called them immigrants.	contradiction	79
5364	I like ethnic humor.	I like jokes about race.	entailment	100
5365	DOD's common practice for managing this environment has been to create aggressive risk reduction efforts in its programs.	The DOD has more than 100 programs.	neutral	100
5366	A member of the only student-run chapter of the American Civil Liberties Union in New York state, Zelon worked to resolve disputes between students and police officers to help protect the public's right to peaceful protest.	Zelon is not run by students in New york state.	contradiction	100
5367	He unleashed a 16-day reign of terror that left 300 Madeirans dead, stocks of sugar destroyed, and the island plundered.	He resigned very quickly after the reign of terror.	neutral	69
5368	What's truly striking, though, is that Jobs has never really let this idea go.	Jobs clung to the idea of expanding at all costs.	neutral	96
5369	Children will enjoy the little steam train that loops around the bay to Le Crotoy in the summer.	The steam train is only operational in the summer.	neutral	100
5370	I mustn't keep you.	I should not keep you.	entailment	100
5371	To their good fortune, he's proving them right.	He is showing that they are wrong.	contradiction	100
5372	Sit down, will you?" Tuppence sat down on the chair facing him.	He asked Tuppence to sit on a red chair. 	neutral	100
5373	we have tickets waiting for us	We have tickets to the Browns waiting for us.	neutral	100
5374	Today it is the effects of pollution that are taking their toll on Agra's monuments.	Nowadays there is so much pollution that Agra has had to take measures to protect its monuments.	neutral	98
5375	While the NIPA measure reflects how government saving affects national saving available for investment, the unified budget measure is the more common frame of reference for discussing federal fiscal policy issues.	The NIPA measure is more reliable than the unified budget measure.	neutral	100
5376	He pointed at his bald head.	He made an effort to point out his bald head.	entailment	76
5377	yeah although i do worry that how easy this one was might be a bad lesson uh to the to the younger people um you know than there is the other generation	I do worry that it might be a bad lesson.	entailment	100
5378	Several of the organizations had professional and administrative staffs that provided analytical capabilities and facilitated their members' participation in the organization's activities.	Organizations didn't care about members' participation.	contradiction	100
5379	I see, said Tuppence thoughtfully.	"I understand," said Tuppence after taking a quiet moment to carefully consider the information.	neutral	100
5380	is there still that type of music available	Is that genre of music still a thing?	entailment	100
5381	i don't know if you have a place there called uh or you probably have something similar we call it Service Merchandise	There is usually a similar place anywhere you go.	neutral	29
